x,y,dx,dy
5,20,1,0
6,20,1,0
7,20,1,0
8,20,0,-1
8,19,-1,0
7,19,-1,0
6,19,-1,0
5,19,-1,0
4,19,-1,0
3,19,-1,0
2,19,0,-1
2,18,1,0
3,18,1,0
4,18,1,0
5,18,1,0
6,18,1,0
7,18,1,0
8,18,0,-1
8,17,0,-1
8,16,1,0
9,16,0,1
9,17,0,1
9,18,0,1
9,19,0,1
9,20,0,1
9,21,0,1
9,22,0,1
9,23,0,1
9,24,0,1
9,25,0,1
9,26,1,0
10,26,1,0
11,26,0,1
11,27,-1,0
10,27,0,1
10,28,0,1
10,29,0,1
10,30,0,1
10,31,0,1
10,32,0,1
10,33,0,1
10,34,1,0
11,34,0,-1
11,33,0,-1
11,32,0,-1
11,31,0,-1
11,30,0,-1
11,29,0,-1
11,28,1,-1
12,27,0,-1
12,26,0,-1
12,25,0,-1
12,24,0,-1
12,23,0,-1
12,22,0,-1
12,21,0,-1
12,20,-1,0
11,20,0,1
11,21,0,1
11,22,0,1
11,23,0,1
11,24,0,1
11,25,-1,0
10,25,0,-1
10,24,0,-1
10,23,0,-1
10,22,0,-1
10,21,0,-1
10,20,0,-1
10,19,0,-1
10,18,0,-1
10,17,0,-1
10,16,0,-1
10,15,0,-1
10,14,0,-1
10,13,0,-1
10,12,0,-1
10,11,0,-1
10,10,0,-1
10,9,0,-1
10,8,0,-1
10,7,0,-1
10,6,-1,0
9,6,0,1
9,7,0,1
9,8,-1,0
8,8,-1,0
7,8,0,-1
7,7,1,0
8,7,0,-1
8,6,-1,0
7,6,-1,0
6,6,0,1
6,7,0,1
6,8,0,1
6,9,0,1
6,10,0,1
6,11,0,1
6,12,0,1
6,13,0,1
6,14,2,0
8,14,0,1
8,15,1,0
9,15,0,-1
9,14,0,-1
9,13,-1,0
8,13,0,-1
8,12,1,0
9,12,0,-1
9,11,-1,0
8,11,0,-1
8,10,1,0
9,10,0,-1
9,9,-1,0
8,9,-1,0
7,9,0,1
7,10,0,1
7,11,0,1
7,12,0,1
7,13,0,1
7,14,0,1
7,15,-1,0
6,15,0,1
6,16,1,0
7,16,0,1
7,17,-1,0
6,17,-1,0
5,17,-1,0
4,17,-1,0
3,17,-1,0
2,17,0,-1
2,16,1,0
3,16,1,0
4,16,1,0
5,16,0,-1
5,15,-1,0
4,15,0,-1
4,14,1,0
5,14,-1,-1
4,13,1,0
5,13,-1,-1
4,12,0,-1
4,11,1,1
5,12,0,-1
5,11,0,-1
5,10,-1,0
4,10,0,-1
4,9,1,0
5,9,0,-1
5,8,0,-1
5,7,0,-1
5,6,0,-1
5,5,1,-1
6,4,0,-1
6,3,-1,-1
5,2,0,1
5,3,0,1
5,4,-1,0
4,4,-1,0
3,4,0,1
3,5,1,0
4,5,0,1
4,6,-1,0
3,6,0,1
3,7,1,0
4,7,0,1
4,8,-1,0
3,8,0,1
3,9,0,1
3,10,0,1
3,11,0,1
3,12,0,1
3,13,0,1
3,14,0,1
3,15,-1,0
2,15,0,-1
2,14,0,-1
2,13,0,-1
2,12,0,-1
2,11,0,-1
2,10,0,-1
2,9,0,-1
2,8,0,-1
2,7,0,-1
2,6,0,-1
2,5,0,-1
2,4,0,-1
2,3,0,-1
2,2,0,-1
2,1,0,-1
2,0,1,0
3,0,0,1
3,1,0,1
3,2,0,1
3,3,1,0
4,3,0,-1
4,2,0,-1
4,1,0,-1
4,0,1,1
5,1,1,1
6,2,1,1
7,3,0,1
7,4,-1,1
6,5,1,0
7,5,1,0
8,5,0,-1
8,4,0,-1
8,3,-1,-1
7,2,-1,-1
6,1,-1,-1
5,0,1,0
6,0,1,1
7,1,1,1
8,2,1,0
9,2,1,0
10,2,1,0
11,2,1,0
12,2,1,0
13,2,1,0
14,2,1,0
15,2,0,-1
15,1,-1,0
14,1,-1,0
13,1,-1,0
12,1,-1,0
11,1,-1,0
10,1,-1,0
9,1,-1,0
8,1,-1,-1
7,0,1,0
8,0,1,0
9,0,1,0
10,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
14,0,1,0
15,0,1,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,-1,1
20,1,-1,0
19,1,-1,0
18,1,-1,0
17,1,-1,0
16,1,0,1
16,2,1,0
17,2,1,0
18,2,1,0
19,2,-1,1
18,3,-1,0
17,3,-1,0
16,3,-1,0
15,3,-1,0
14,3,-1,0
13,3,-1,0
12,3,-1,0
11,3,-1,0
10,3,-1,0
9,3,0,1
9,4,0,1
9,5,1,0
10,5,0,-1
10,4,1,0
11,4,1,0
12,4,1,0
13,4,0,1
13,5,-1,0
12,5,-1,0
11,5,0,1
11,6,1,0
12,6,1,0
13,6,-2,1
11,7,1,0
12,7,-1,1
11,8,0,1
11,9,0,1
11,10,0,1
11,11,0,1
11,12,0,1
11,13,0,1
11,14,0,1
11,15,0,1
11,16,0,1
11,17,0,1
11,18,0,1
11,19,1,0
12,19,0,-1
12,18,0,-1
12,17,0,-1
12,16,0,-1
12,15,0,-1
12,14,0,-1
12,13,0,-1
12,12,0,-1
12,11,0,-1
12,10,0,-1
12,9,0,-1
12,8,1,-1
13,7,1,-1
14,6,1,0
15,6,-1,1
14,7,1,0
15,7,0,1
15,8,0,1
15,9,0,1
15,10,0,1
15,11,0,1
15,12,0,1
15,13,0,1
15,14,0,1
15,15,0,1
15,16,0,1
15,17,0,1
15,18,0,1
15,19,0,1
15,20,0,1
15,21,-1,0
14,21,0,-1
14,20,0,-1
14,19,0,-1
14,18,0,-1
14,17,0,-1
14,16,0,-1
14,15,0,-1
14,14,0,-1
14,13,0,-1
14,12,0,-1
14,11,0,-1
14,10,0,-1
14,9,0,-1
14,8,-1,0
13,8,0,1
13,9,0,1
13,10,0,1
13,11,0,1
13,12,0,1
13,13,0,1
13,14,0,1
13,15,0,1
13,16,0,1
13,17,0,1
13,18,0,1
13,19,0,1
13,20,0,1
13,21,0,1
13,22,0,1
13,23,0,1
13,24,1,0
14,24,1,0
15,24,1,0
16,24,0,1
16,25,0,1
16,26,1,0
17,26,1,0
18,26,0,-1
18,25,-1,0
17,25,0,-1
17,24,1,0
18,24,1,0
19,24,0,1
19,25,1,0
20,25,0,-1
20,24,1,0
21,24,0,1
21,25,0,1
21,26,-1,0
20,26,-1,0
19,26,0,1
19,27,1,0
20,27,1,0
21,27,1,0
22,27,0,-1
22,26,1,0
23,26,1,0
24,26,1,0
25,26,1,0
26,26,0,-1
26,25,1,0
27,25,0,1
27,26,0,1
27,27,0,1
27,28,0,1
27,29,1,-1
28,28,1,-1
29,27,1,-1
30,26,1,-1
31,25,1,-1
32,24,-1,0
31,24,-1,1
30,25,-1,1
29,26,-1,1
28,27,0,-1
28,26,0,-1
28,25,1,0
29,25,0,-1
29,24,1,0
30,24,0,-1
30,23,1,0
31,23,0,-1
31,22,1,0
32,22,0,1
32,23,1,0
33,23,1,-1
34,22,1,-1
35,21,0,-1
35,20,0,-1
35,19,-1,0
34,19,-1,0
33,19,-1,0
32,19,0,-1
32,18,0,-1
32,17,-1,0
31,17,-1,0
30,17,0,1
30,18,1,0
31,18,0,1
31,19,-1,0
30,19,0,1
30,20,1,0
31,20,1,0
32,20,1,0
33,20,1,0
34,20,0,1
34,21,-1,1
33,22,0,-1
33,21,-1,0
32,21,-1,0
31,21,-1,0
30,21,0,1
30,22,-1,0
29,22,-1,0
28,22,-1,0
27,22,-1,0
26,22,-1,0
25,22,-1,0
24,22,0,-1
24,21,0,-1
24,20,-1,0
23,20,0,1
23,21,0,1
23,22,0,1
23,23,0,1
23,24,1,0
24,24,0,-1
24,23,1,0
25,23,1,0
26,23,1,0
27,23,1,0
28,23,1,0
29,23,-1,1
28,24,-1,0
27,24,-1,0
26,24,-1,0
25,24,0,1
25,25,-1,0
24,25,-1,0
23,25,-1,0
22,25,0,-1
22,24,0,-1
22,23,-1,0
21,23,-1,0
20,23,-1,0
19,23,-1,0
18,23,-1,0
17,23,-1,0
16,23,-1,0
15,23,-1,0
14,23,0,-1
14,22,1,0
15,22,1,0
16,22,1,0
17,22,1,0
18,22,1,0
19,22,1,0
20,22,1,0
21,22,1,0
22,22,0,-1
22,21,0,-1
22,20,0,-1
22,19,0,-1
22,18,0,-1
22,17,-1,0
21,17,0,1
21,18,0,1
21,19,0,1
21,20,0,1
21,21,-1,0
20,21,-1,0
19,21,-1,0
18,21,-1,0
17,21,-1,0
16,21,0,-1
16,20,1,0
17,20,1,0
18,20,0,-1
18,19,-1,0
17,19,-1,0
16,19,0,-1
16,18,1,0
17,18,1,0
18,18,1,0
19,18,0,1
19,19,0,1
19,20,1,0
20,20,0,-1
20,19,0,-1
20,18,0,-1
20,17,-1,0
19,17,-1,0
18,17,-1,0
17,17,-1,0
16,17,0,-1
16,16,1,0
17,16,1,0
18,16,1,0
19,16,1,0
20,16,1,0
21,16,1,0
22,16,0,-1
22,15,-1,0
21,15,-1,0
20,15,-1,0
19,15,-1,0
18,15,-1,0
17,15,-1,0
16,15,0,-1
16,14,0,-1
16,13,0,-1
16,12,0,-1
16,11,0,-1
16,10,0,-1
16,9,0,-1
16,8,0,-1
16,7,0,-1
16,6,1,0
17,6,0,1
17,7,1,0
18,7,0,-1
18,6,0,-1
18,5,-1,0
17,5,-1,0
16,5,-1,0
15,5,-1,0
14,5,0,-1
14,4,1,0
15,4,1,0
16,4,1,0
17,4,1,0
18,4,1,-1
19,3,1,-1
20,2,1,-1
21,1,1,-1
22,0,1,0
23,0,-1,1
22,1,-1,1
21,2,-1,1
20,3,-1,1
19,4,1,0
20,4,1,-1
21,3,1,0
22,3,1,0
23,3,1,0
24,3,1,0
25,3,0,1
25,4,-1,0
24,4,-1,0
23,4,-1,0
22,4,-1,0
21,4,0,1
21,5,1,0
22,5,1,0
23,5,1,0
24,5,1,0
25,5,1,0
26,5,0,-1
26,4,0,-1
26,3,0,-1
26,2,-1,0
25,2,-1,0
24,2,-1,0
23,2,-1,0
22,2,1,-1
23,1,1,0
24,1,0,-1
24,0,1,0
25,0,0,1
25,1,1,0
26,1,0,-1
26,0,1,0
27,0,0,1
27,1,0,1
27,2,0,1
27,3,0,1
27,4,1,0
28,4,1,0
29,4,1,0
30,4,1,0
31,4,1,0
32,4,1,0
33,4,1,0
34,4,1,0
35,4,1,0
36,4,1,0
37,4,0,1
37,5,0,1
37,6,0,1
37,7,-1,0
36,7,0,-1
36,6,0,-1
36,5,-1,0
35,5,-1,0
34,5,-1,0
33,5,-1,0
32,5,-1,0
31,5,0,1
31,6,1,0
32,6,1,0
33,6,1,0
34,6,1,0
35,6,0,1
35,7,-1,0
34,7,-1,0
33,7,-1,0
32,7,-1,0
31,7,-1,0
30,7,0,-1
30,6,0,-1
30,5,-1,0
29,5,-1,0
28,5,-1,0
27,5,0,1
27,6,0,1
27,7,0,1
27,8,0,1
27,9,0,1
27,10,0,1
27,11,1,0
28,11,0,1
28,12,-1,0
27,12,0,1
27,13,0,1
27,14,-1,0
26,14,0,1
26,15,0,1
26,16,-2,0
24,16,0,-1
24,15,0,-1
24,14,0,-1
24,13,0,-1
24,12,0,-1
24,11,-1,0
23,11,-1,0
22,11,-1,0
21,11,-1,0
20,11,0,-1
20,10,-1,0
19,10,0,1
19,11,0,1
19,12,1,0
20,12,0,1
20,13,-1,0
19,13,0,1
19,14,1,0
20,14,1,0
21,14,1,0
22,14,0,-1
22,13,-1,0
21,13,0,-1
21,12,1,0
22,12,1,0
23,12,0,1
23,13,0,1
23,14,0,1
23,15,0,1
23,16,0,1
23,17,0,1
23,18,0,1
23,19,1,0
24,19,0,-1
24,18,0,-1
24,17,1,0
25,17,0,-1
25,16,0,-1
25,15,0,-1
25,14,0,-1
25,13,0,-1
25,12,0,-1
25,11,0,-1
25,10,0,-1
25,9,-1,0
24,9,0,1
24,10,-1,0
23,10,-1,0
22,10,-1,0
21,10,0,-1
21,9,-1,0
20,9,-1,0
19,9,-1,0
18,9,0,1
18,10,0,1
18,11,0,1
18,12,0,1
18,13,0,1
18,14,-1,0
17,14,0,-1
17,13,0,-1
17,12,0,-1
17,11,0,-1
17,10,0,-1
17,9,0,-1
17,8,1,0
18,8,1,0
19,8,1,0
20,8,1,0
21,8,1,0
22,8,0,1
22,9,1,0
23,9,0,-1
23,8,1,0
24,8,1,0
25,8,0,-1
25,7,-1,0
24,7,-1,0
23,7,-1,0
22,7,-1,0
21,7,-1,0
20,7,-1,0
19,7,0,-1
19,6,0,-1
19,5,1,0
20,5,0,1
20,6,1,0
21,6,1,0
22,6,1,0
23,6,1,0
24,6,1,0
25,6,1,0
26,6,0,1
26,7,0,1
26,8,0,1
26,9,0,1
26,10,0,1
26,11,0,1
26,12,0,1
26,13,2,0
28,13,1,-1
29,12,0,-1
29,11,1,0
30,11,0,-1
30,10,-1,0
29,10,-1,0
28,10,0,-1
28,9,0,-1
28,8,0,-1
28,7,0,-1
28,6,1,0
29,6,0,1
29,7,0,1
29,8,0,1
29,9,1,0
30,9,0,-1
30,8,1,0
31,8,1,0
32,8,0,1
32,9,-1,0
31,9,0,1
31,10,1,0
32,10,-1,1
31,11,-1,1
30,12,-1,1
29,13,-1,1
28,14,-1,1
27,15,0,1
27,16,-1,1
26,17,-1,1
25,18,1,0
26,18,-1,1
25,19,0,1
25,20,0,1
25,21,1,0
26,21,1,0
27,21,0,-1
27,20,-1,0
26,20,0,-1
26,19,1,0
27,19,0,-1
27,18,1,0
28,18,0,1
28,19,0,1
28,20,0,1
28,21,1,0
29,21,0,-1
29,20,0,-1
29,19,0,-1
29,18,0,-1
29,17,-1,0
28,17,-1,0
27,17,1,-1
28,16,0,-1
28,15,1,-1
29,14,1,-1
30,13,1,-1
31,12,1,-1
32,11,1,-1
33,10,1,0
34,10,1,0
35,10,0,1
35,11,-1,0
34,11,-1,0
33,11,0,1
33,12,1,0
34,12,1,0
35,12,1,0
36,12,0,1
36,13,0,1
36,14,1,0
37,14,0,1
37,15,0,1
37,16,-1,0
36,16,0,-1
36,15,-1,0
35,15,0,-1
35,14,0,-1
35,13,-1,0
34,13,-1,0
33,13,-1,-1
32,12,0,1
32,13,-1,0
31,13,0,1
31,14,-1,0
30,14,0,1
30,15,1,0
31,15,-2,0
29,15,0,1
29,16,1,0
30,16,1,0
31,16,1,0
32,16,1,0
33,16,0,-1
33,15,-1,0
32,15,0,-1
32,14,1,0
33,14,1,0
34,14,0,1
34,15,0,1
34,16,1,0
35,16,0,1
35,17,-1,0
34,17,-1,0
33,17,0,1
33,18,1,0
34,18,1,0
35,18,1,0
36,18,0,-1
36,17,1,0
37,17,0,1
37,18,1,-1
38,17,0,1
38,18,1,0
39,18,0,-1
39,17,1,-1
40,16,1,0
41,16,1,0
42,16,-1,1
41,17,-1,0
40,17,0,1
40,18,-1,1
39,19,-1,0
38,19,0,1
38,20,-1,0
37,20,0,-1
37,19,-1,0
36,19,0,1
36,20,0,1
36,21,-1,1
35,22,-1,1
34,23,-1,1
33,24,-1,1
32,25,-1,1
31,26,-1,1
30,27,-1,1
29,28,-1,1
28,29,-1,1
27,30,1,1
28,31,-1,1
27,32,0,-1
27,31,1,-1
28,30,1,0
29,30,0,-1
29,29,1,0
30,29,0,-1
30,28,1,0
31,28,1,0
32,28,-1,-1
31,27,1,-1
32,26,1,-1
33,25,1,-1
34,24,1,-1
35,23,1,-1
36,22,1,-1
37,21,0,1
37,22,1,-1
38,21,1,-1
39,20,1,-1
40,19,1,-1
41,18,1,-1
42,17,1,-1
43,16,1,-1
44,15,-1,0
43,15,-1,0
42,15,-1,0
41,15,-1,0
40,15,-1,0
39,15,0,1
39,16,-1,0
38,16,0,-1
38,15,0,-1
38,14,0,-1
38,13,-1,0
37,13,0,-1
37,12,1,0
38,12,0,-1
38,11,-1,0
37,11,-1,0
36,11,0,-1
36,10,1,0
37,10,1,0
38,10,0,-1
38,9,-1,0
37,9,-1,0
36,9,-1,0
35,9,-1,0
34,9,-1,0
33,9,0,-1
33,8,1,0
34,8,1,0
35,8,1,0
36,8,1,0
37,8,1,0
38,8,0,-1
38,7,0,-1
38,6,0,-1
38,5,0,-1
38,4,0,-1
38,3,-1,0
37,3,-1,0
36,3,-1,0
35,3,0,-1
35,2,-1,0
34,2,0,1
34,3,-1,0
33,3,-1,0
32,3,-1,0
31,3,-1,0
30,3,-1,0
29,3,-1,0
28,3,0,-1
28,2,0,-1
28,1,0,-1
28,0,1,0
29,0,1,0
30,0,1,0
31,0,0,1
31,1,-1,0
30,1,-1,0
29,1,0,1
29,2,1,0
30,2,1,0
31,2,1,0
32,2,1,0
33,2,0,-1
33,1,-1,0
32,1,0,-1
32,0,1,0
33,0,1,0
34,0,0,1
34,1,1,0
35,1,0,-1
35,0,1,0
36,0,1,0
37,0,1,0
38,0,0,1
38,1,-1,0
37,1,-1,0
36,1,0,1
36,2,1,0
37,2,1,0
38,2,1,0
39,2,1,0
40,2,0,1
40,3,-1,0
39,3,0,1
39,4,0,1
39,5,0,1
39,6,0,1
39,7,1,-1
40,6,0,-1
40,5,0,-1
40,4,1,0
41,4,0,-1
41,3,1,0
42,3,0,1
42,4,1,0
43,4,0,-1
43,3,0,-1
43,2,0,-1
43,1,-1,0
42,1,0,1
42,2,-1,0
41,2,0,-1
41,1,-1,0
40,1,-1,0
39,1,0,-1
39,0,1,0
40,0,1,0
41,0,1,0
42,0,1,0
43,0,1,0
44,0,1,0
45,0,1,0
46,0,0,1
46,1,-1,0
45,1,-1,0
44,1,0,1
44,2,0,1
44,3,0,1
44,4,1,0
45,4,-2,1
43,5,-1,0
42,5,-1,0
41,5,0,1
41,6,-1,1
40,7,0,1
40,8,-1,0
39,8,0,1
39,9,0,1
39,10,0,1
39,11,0,1
39,12,0,1
39,13,0,1
39,14,1,0
40,14,0,-1
40,13,1,0
41,13,0,1
41,14,1,0
42,14,1,0
43,14,1,0
44,14,1,0
45,14,1,-1
46,13,-1,0
45,13,-1,0
44,13,-1,0
43,13,-1,0
42,13,0,-1
42,12,1,0
43,12,1,0
44,12,1,0
45,12,1,0
46,12,0,-1
46,11,-1,-1
45,10,0,1
45,11,-1,0
44,11,0,-1
44,10,-1,0
43,10,0,1
43,11,-1,0
42,11,0,-1
42,10,-1,0
41,10,0,1
41,11,0,1
41,12,-1,0
40,12,0,-1
40,11,0,-1
40,10,0,-1
40,9,1,0
41,9,1,0
42,9,1,0
43,9,1,0
44,9,1,0
45,9,1,1
46,10,1,1
47,11,0,1
47,12,0,1
47,13,-1,1
46,14,-1,1
45,15,-1,1
44,16,-1,1
43,17,-1,1
42,18,-1,1
41,19,-1,1
40,20,-1,1
39,21,-1,1
38,22,1,0
39,22,0,1
39,23,-1,0
38,23,-1,0
37,23,-1,0
36,23,-1,1
35,24,-1,1
34,25,-1,1
33,26,-1,1
32,27,1,0
33,27,1,-1
34,26,0,1
34,27,1,0
35,27,0,-1
35,26,0,-1
35,25,1,-1
36,24,0,1
36,25,0,1
36,26,0,1
36,27,1,0
37,27,0,-1
37,26,0,-1
37,25,0,-1
37,24,1,0
38,24,0,1
38,25,0,1
38,26,0,1
38,27,1,0
39,27,1,0
40,27,1,0
41,27,1,0
42,27,0,-1
42,26,0,-1
42,25,0,-1
42,24,-1,0
41,24,0,1
41,25,0,1
41,26,-1,0
40,26,-1,0
39,26,0,-1
39,25,1,0
40,25,-1,-1
39,24,1,0
40,24,0,-1
40,23,0,-1
40,22,1,0
41,22,0,1
41,23,1,0
42,23,0,-1
42,22,0,-1
42,21,1,0
43,21,0,1
43,22,0,1
43,23,1,0
44,23,1,0
45,23,1,0
46,23,0,-1
46,22,1,0
47,22,0,1
47,23,1,0
48,23,0,-1
48,22,0,-1
48,21,-1,0
47,21,0,-1
47,20,-1,0
46,20,0,1
46,21,-1,0
45,21,0,1
45,22,-1,0
44,22,0,-1
44,21,0,-1
44,20,1,0
45,20,0,-1
45,19,1,0
46,19,1,0
47,19,1,0
48,19,0,1
48,20,1,0
49,20,0,1
49,21,1,0
50,21,0,1
50,22,-1,0
49,22,0,1
49,23,1,0
50,23,0,1
50,24,1,0
51,24,1,0
52,24,1,0
53,24,1,0
54,24,0,1
54,25,0,1
54,26,0,1
54,27,0,1
54,28,1,0
55,28,0,-1
55,27,0,-1
55,26,1,0
56,26,1,0
57,26,1,0
58,26,0,1
58,27,-1,0
57,27,-1,0
56,27,0,1
56,28,0,1
56,29,0,1
56,30,1,0
57,30,1,0
58,30,1,0
59,30,1,0
60,30,1,0
61,30,0,-1
61,29,0,-1
61,28,-1,0
60,28,0,1
60,29,-1,0
59,29,-1,0
58,29,-1,0
57,29,0,-1
57,28,1,0
58,28,1,0
59,28,0,-1
59,27,1,0
60,27,1,0
61,27,0,-1
61,26,-1,0
60,26,-1,0
59,26,0,-1
59,25,-1,0
58,25,-1,0
57,25,0,-1
57,24,-1,0
56,24,0,1
56,25,-1,0
55,25,0,-1
55,24,0,-1
55,23,-1,0
54,23,-1,0
53,23,0,-1
53,22,-1,0
52,22,0,1
52,23,-1,0
51,23,0,-1
51,22,0,-1
51,21,1,0
52,21,0,-1
52,20,1,0
53,20,0,1
53,21,1,0
54,21,0,1
54,22,1,0
55,22,0,-1
55,21,1,0
56,21,0,-1
56,20,1,0
57,20,1,0
58,20,1,0
59,20,1,0
60,20,1,0
61,20,0,-1
61,19,-1,0
60,19,-1,0
59,19,-1,0
58,19,-1,0
57,19,-1,0
56,19,-1,0
55,19,0,1
55,20,-1,0
54,20,0,-1
54,19,-1,0
53,19,-1,0
52,19,-1,0
51,19,0,1
51,20,-1,0
50,20,0,-1
50,19,-1,0
49,19,0,-1
49,18,-1,0
48,18,-1,0
47,18,0,-1
47,17,0,-1
47,16,-1,0
46,16,-1,1
45,17,1,0
46,17,0,1
46,18,-1,0
45,18,-1,0
44,18,0,1
44,19,-1,0
43,19,0,1
43,20,-1,0
42,20,-1,1
41,21,-1,0
40,21,1,-1
41,20,1,-1
42,19,1,-1
43,18,1,-1
44,17,1,-1
45,16,1,-1
46,15,1,-1
47,14,1,-1
48,13,0,-1
48,12,0,-1
48,11,-1,-1
47,10,-1,-1
46,9,-2,-1
44,8,1,0
45,8,-2,-1
43,7,0,-1
43,6,-1,1
42,7,0,1
42,8,1,0
43,8,-2,0
41,8,0,-1
41,7,1,-1
42,6,2,-1
44,5,1,0
45,5,1,-1
46,4,2,-1
48,3,-1,0
47,3,-1,0
46,3,-1,0
45,3,0,-1
45,2,1,0
46,2,1,0
47,2,1,0
48,2,1,0
49,2,1,0
50,2,2,-1
52,1,-1,0
51,1,-1,0
50,1,-1,0
49,1,-1,0
48,1,-1,0
47,1,0,-1
47,0,1,0
48,0,1,0
49,0,1,0
50,0,1,0
51,0,1,0
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,0,1,0
85,0,0,1
85,1,0,1
85,2,-1,0
84,2,0,-1
84,1,-1,0
83,1,0,1
83,2,0,1
83,3,-1,0
82,3,0,1
82,4,1,0
83,4,1,0
84,4,0,-1
84,3,1,0
85,3,0,1
85,4,1,0
86,4,1,0
87,4,1,0
88,4,0,-1
88,3,-1,0
87,3,-1,0
86,3,0,-1
86,2,1,0
87,2,1,0
88,2,0,-1
88,1,-1,0
87,1,-1,0
86,1,0,-1
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,0,1,0
91,0,0,1
91,1,0,1
91,2,1,0
92,2,1,0
93,2,1,0
94,2,0,1
94,3,0,1
94,4,1,0
95,4,0,1
95,5,1,0
96,5,0,-1
96,4,1,0
97,4,0,-1
97,3,-1,0
96,3,-1,0
95,3,0,-1
95,2,0,-1
95,1,-1,0
94,1,-1,0
93,1,-1,0
92,1,0,-1
92,0,1,0
93,0,1,0
94,0,1,0
95,0,1,0
96,0,1,0
97,0,1,0
98,0,1,0
99,0,1,1
100,1,0,1
100,2,0,1
100,3,-1,-1
99,2,0,-1
99,1,-1,0
98,1,-1,0
97,1,-1,0
96,1,0,1
96,2,1,0
97,2,1,0
98,2,0,1
98,3,0,1
98,4,-1,1
97,5,-1,1
96,6,-1,0
95,6,-1,-1
94,5,-1,-1
93,4,0,-1
93,3,-1,0
92,3,-1,0
91,3,-1,0
90,3,0,-1
90,2,0,-1
90,1,-1,0
89,1,0,1
89,2,0,1
89,3,0,1
89,4,1,0
90,4,1,0
91,4,1,0
92,4,0,1
92,5,1,0
93,5,0,1
93,6,1,0
94,6,0,1
94,7,-1,0
93,7,-1,0
92,7,0,-1
92,6,-1,0
91,6,0,-1
91,5,-1,0
90,5,-1,0
89,5,-1,0
88,5,-1,0
87,5,-1,0
86,5,-1,0
85,5,-1,0
84,5,-1,0
83,5,-1,0
82,5,-1,0
81,5,-1,0
80,5,-1,0
79,5,-1,0
78,5,-1,0
77,5,-1,0
76,5,-1,0
75,5,-1,0
74,5,0,-1
74,4,-1,0
73,4,0,1
73,5,-1,0
72,5,-1,0
71,5,-1,0
70,5,-1,0
69,5,-1,0
68,5,-1,0
67,5,-1,0
66,5,-1,0
65,5,-1,0
64,5,-1,0
63,5,-1,0
62,5,-1,0
61,5,-1,0
60,5,-1,0
59,5,-1,0
58,5,-1,0
57,5,-1,0
56,5,-1,0
55,5,-1,0
54,5,-1,0
53,5,0,-1
53,4,1,0
54,4,1,0
55,4,1,0
56,4,1,0
57,4,1,0
58,4,1,0
59,4,0,-1
59,3,-1,0
58,3,-1,0
57,3,-1,0
56,3,0,-1
56,2,1,0
57,2,1,0
58,2,1,0
59,2,1,0
60,2,1,0
61,2,0,1
61,3,-1,0
60,3,0,1
60,4,1,0
61,4,1,0
62,4,0,-1
62,3,1,0
63,3,0,1
63,4,1,0
64,4,1,0
65,4,1,0
66,4,1,0
67,4,1,0
68,4,0,-1
68,3,1,0
69,3,0,1
69,4,1,0
70,4,1,0
71,4,1,0
72,4,0,-1
72,3,1,0
73,3,1,0
74,3,1,0
75,3,0,1
75,4,1,0
76,4,1,0
77,4,1,0
78,4,0,-1
78,3,1,0
79,3,0,1
79,4,1,0
80,4,1,0
81,4,0,-1
81,3,-1,0
80,3,0,-1
80,2,1,0
81,2,1,0
82,2,0,-1
82,1,-1,0
81,1,-1,0
80,1,-1,0
79,1,0,1
79,2,-1,0
78,2,0,-1
78,1,-1,0
77,1,0,1
77,2,0,1
77,3,-1,0
76,3,0,-1
76,2,0,-1
76,1,-1,0
75,1,0,1
75,2,-1,0
74,2,0,-1
74,1,-1,0
73,1,0,1
73,2,-1,0
72,2,0,-1
72,1,-1,0
71,1,0,1
71,2,0,1
71,3,-1,0
70,3,0,-1
70,2,0,-1
70,1,-1,0
69,1,0,1
69,2,-1,0
68,2,0,-1
68,1,-1,0
67,1,0,1
67,2,0,1
67,3,-1,0
66,3,-1,0
65,3,-1,0
64,3,0,-1
64,2,1,0
65,2,1,0
66,2,0,-1
66,1,-1,0
65,1,-1,0
64,1,-1,0
63,1,0,1
63,2,-1,0
62,2,0,-1
62,1,-1,0
61,1,-1,0
60,1,-1,0
59,1,-1,0
58,1,-1,0
57,1,-1,0
56,1,-1,0
55,1,-1,0
54,1,-1,0
53,1,-2,1
51,2,1,0
52,2,1,0
53,2,1,0
54,2,1,0
55,2,0,1
55,3,-1,0
54,3,-1,0
53,3,-1,0
52,3,-1,0
51,3,-1,0
50,3,-1,0
49,3,-2,1
47,4,1,0
48,4,1,0
49,4,1,0
50,4,0,1
50,5,1,0
51,5,0,-1
51,4,1,0
